סמל ישוב,שם ישוב,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים","שכר ממוצע לחודש של שכירים (ש""ח) גברים","שכר ממוצע לחודש של שכירים (ש""ח) נשים"
472,אבו גוש,7102,7922,5926
473,אבו סנאן,7230,8836,5053
182,אבן יהודה,15875,20724,11005
2710,אום אל-פחם,5904,7082,4053
31,אופקים,8086,10275,6070
2400,אור יהודה,8917,10496,7305
1020,אור עקיבא,8308,9928,6752
3760,אורנית,13894,17229,10422
565,אזור,10245,12121,8270
2600,אילת,7900,9213,6401
478,אכסאל,7333,8965,4777
41,אליכין,9055,10558,7561
1309,אלעד,6433,7679,5507
3750,אלפי מנשה,12619,15535,9580
3560,אלקנה,13427,17306,9548
529,אעבלין,6661,7765,5212
3650,אפרת,11506,14380,8510
3570,אריאל,9582,11558,7606
70,אשדוד,8996,11202,6873
7100,אשקלון,9048,11146,6952
6000,באקה אל-גרביה,7279,8821,5123
2530,באר יעקב,12121,14986,9312
9000,באר שבע,9798,12053,7525
482,בועיינה-נוג'ידאת,6030,7266,4233
4001,בוקעאתא,6129,7784,3499
998,ביר אל-מכסור,6285,8005,3744
3574,בית אל,8296,9993,6573
3652,בית אריה-עופרים,11521,13934,9073
480,בית ג'ן,7678,10441,4468
466,בית דגן,10782,12797,8696
9200,בית שאן,8095,9788,6286
2610,בית שמש,7429,9497,5678
3780,ביתר עילית,5241,6203,4551
6100,בני ברק,6428,7034,6032
1066,"בני עי""ש",8325,10063,6625
9800,בנימינה-גבעת עדה*,15745,20362,11046
1326,"בסמ""ה",6446,7814,4351
944,בסמת טבעון,6248,7720,4439
483,בענה,5903,7095,4452
6200,בת ים,7928,9385,6488
1292,ג'דיידה-מכר,6537,7969,4727
485,ג'ולס,8335,11252,4757
627,ג'לג'וליה,5838,6649,4775
541,ג'סר א-זרקא,5336,6364,4245
487,ג'ש (גוש חלב),9376,11109,7448
628,ג'ת,8194,9885,6187
3730,גבעת זאב,9212,10629,7888
681,גבעת שמואל,14671,18116,11205
6300,גבעתיים,15059,18586,11634
2550,גדרה,12292,15302,9321
166,גן יבנה,11910,14700,9101
229,גני תקווה,15757,19504,12053
494,דאלית אל-כרמל,8102,10619,4978
489,דבורייה,7083,8447,5244
490,דייר אל-אסד,7965,9755,5664
492,דייר חנא,6823,8287,5033
2200,דימונה,9809,12699,6620
9700,הוד השרון,15661,20218,11219
3769,הר אדר,15716,18645,12804
6400,הרצלייה,14201,17920,10453
9300,זכרון יעקב,15534,20774,10420
1290,זמר,7251,8810,5103
975,זרזיר,6599,8105,4413
6500,חדרה,9447,11567,7356
6600,חולון,9987,11984,8008
1303,חורה,6333,7221,4559
496,חורפיש,8465,11315,4755
4000,חיפה,11444,14404,8493
2034,חצור הגלילית,7792,9564,5979
1247,חריש,8747,11311,6314
6700,טבריה,7301,8881,5724
962,טובא-זנגרייה,6099,7795,4140
498,טורעאן,6507,7726,4590
2730,טייבה,6495,7518,5265
2720,טירה,7074,8090,5839
2100,טירת כרמל,9178,11281,7082
8900,טמרה,6309,7592,4716
1295,יאנוח-ג'ת,8026,10663,4690
46,יבנאל,7262,8517,5933
2660,יבנה,10829,13468,8145
9400,יהוד,12256,15182,9382
499,יפיע,6329,7343,4783
240,יקנעם עילית,12340,15668,8986
831,ירוחם,8829,10760,6705
3000,ירושלים,8012,8967,6868
502,ירכא,7226,9290,4462
504,כאבול,6646,7920,4875
505,כאוכב אבו אל-היג'א,7421,8910,5606
1224,כוכב יאיר,15681,19810,11439
1059,כסיפה,5975,6777,4521
1296,כסרא-סמיע,8110,10680,4540
978,כעביה-טבאש-חג'אג'רה,6422,7785,4586
633,כפר ברא,7356,9055,4964
1263,כפר ורדים,16471,22724,10101
507,כפר יאסיף,7484,8834,5955
168,כפר יונה,11520,14343,8708
508,כפר כמא,9186,10893,7127
509,כפר כנא,5796,6739,4393
510,כפר מנדא,5505,6451,3773
6900,כפר סבא,13529,16935,10168
634,כפר קאסם,6436,7580,4946
654,כפר קרע,7761,9299,5833
47,כפר תבור,13464,16697,10310
1139,כרמיאל,9510,11632,7372
1271,להבים,18508,23604,13432
7000,לוד,7764,9238,6233
1060,לקיה,6094,6974,4687
1015,מבשרת ציון,13294,16001,10524
516,מג'ד אל-כרום,6247,7562,4533
4201,מג'דל שמס,5891,7175,4028
481,מגאר,7228,9218,4398
874,מגדל העמק,8092,9948,6232
1200,מודיעין-מכבים-רעות*,15138,19129,11223
3797,מודיעין עילית,5132,5424,4995
28,מזכרת בתיה,14474,18272,10778
517,מזרעה,6895,8357,5023
1268,מיתר,16761,21275,12053
4203,מסעדה,5836,7268,3685
518,מעיליא,10311,12020,8384
3616,מעלה אדומים,9969,11807,8218
1327,מעלה עירון,6156,7445,4180
1063,מעלות-תרשיחא,8887,10702,6919
99,מצפה רמון,7453,9230,5605
520,משהד,5970,7054,4287
9100,נהרייה,10115,12528,7625
1061,נוף הגליל,8093,9841,6352
522,נחף,6215,7496,4371
7200,נס ציונה,14166,17714,10654
7300,נצרת,6937,8076,5366
2500,נשר,11483,14293,8643
246,נתיבות,7588,9280,5968
7400,נתניה,9418,11486,7365
525,סאג'ור,8013,10348,4916
587,סביון*,23486,31851,14507
7500,סח'נין,6846,8258,4996
4501,ע'ג'ר,6881,9467,3027
666,עומר,17416,21099,13279
530,עיילבון,8324,10308,5927
511,עילוט,5883,7358,3063
532,עין מאהל,5398,6325,3995
4502,עין קנייא,6182,7679,3789
7600,עכו,7947,9721,6064
3660,עמנואל,5302,6320,4436
534,עספיא,8355,11218,5230
7700,עפולה,8484,10406,6602
531,עראבה,7056,8493,5165
2560,ערד,7581,9473,5623
637,ערערה,6866,8161,5165
1192,ערערה-בנגב,6229,7597,3799
53,עתלית,13911,17816,10107
537,פוריידיס,6505,8003,4521
535,פסוטה,9029,11072,6488
536,פקיעין (בוקייעה),7841,9717,5445
7800,פרדס חנה-כרכור,11206,14238,8209
171,פרדסייה,13936,16862,10838
7900,פתח תקווה,11356,13754,9005
8000,צפת,6906,8160,5696
3557,קדומים,9947,12944,7068
195,קדימה-צורן,13694,17204,10244
638,קלנסווה,6879,8147,5143
4100,קצרין,8109,9705,6503
2620,קריית אונו,16214,20145,12416
3611,קריית ארבע,7140,8287,5918
6800,קריית אתא,9548,11897,7218
9500,קריית ביאליק,10221,12773,7685
2630,קריית גת,8024,9793,6234
2300,קריית טבעון,13584,17622,9502
9600,קריית ים,8354,10375,6350
1137,קריית יערים,6973,7904,6346
8200,קריית מוצקין,10632,13384,7973
1034,קריית מלאכי,7504,9270,5594
469,קריית עקרון,8788,10525,7053
2800,קריית שמונה,8295,10116,6360
3640,קרני שומרון,10269,12658,7727
543,ראמה,7982,9569,6007
2640,ראש העין,11654,14238,9157
26,ראש פינה,9863,12226,7500
8300,ראשון לציון,11193,13644,8721
1161,רהט,6106,7406,4198
8400,רחובות,11781,14620,9016
542,ריינה,6391,7662,4346
922,רכסים,5717,6176,5402
8500,רמלה,7888,9354,6328
8600,רמת גן,13126,16249,10038
2650,רמת השרון,16947,21629,12396
122,רמת ישי,13609,17270,9823
8700,רעננה,14584,18902,10217
913,שבלי - אום אל-גנם,6855,8441,4917
1286,שגב-שלום,5869,6703,4507
1031,שדרות,8761,10812,6483
1304,שוהם,16032,19906,12279
812,שלומי,9542,11745,7187
538,שעב,6188,7281,4582
8800,שפרעם,7162,8649,5111
5000,תל אביב -יפו,13884,17145,10448
154,תל מונד,15840,20279,11306
1054,תל שבע,5663,6671,4016
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
